step,demo_index,cfg_scale,control_scale,variant,row_type,variant_a,variant_b,control_input_rms,control_input_mean_abs,control_input_zero_ratio,forward_delta_rms,forward_delta_mean_abs,forward_delta_zero_ratio,forward_delta_frame_active_ratio,forward_delta_cosine,forward_delta_relative_l2_difference,audio_rms,audio_peak,audio_silence_ratio,low_band_ratio,mid_band_ratio,high_band_ratio,low_mid_band_ratio,spectral_centroid_hz,warning
1,0,3.0,0.3,null,variant,,,,,,,,,,,,0.6244297623634338,1.0597858428955078,0.0,2.4777059421913728e-14,0.0,1.0,2.4777059421913728e-14,14748.756257323357,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.7934888005256653,1.2661373615264893,0.0,1.6604284210932474e-15,0.0,1.0,1.6604284210932474e-15,20097.82584577471,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,1.8439222574234009,3.164942502975464,0.0,1.4269099994319288e-15,0.0,1.0,1.4269099994319288e-15,18019.325261673945,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,1.2044706344604492,1.4027409553527832,0.0,7.27733010869245e-15,0.0,1.0,7.27733010869245e-15,17183.61280588197,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.8832213878631592,1.442542314529419,0.0,1.6185408626745396e-14,0.0,1.0,1.6185408626745396e-14,15249.898094180875,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.9070231318473816,1.1405713558197021,0.0,1.8902722956157057e-14,0.0,1.0,1.8902722956157057e-14,13941.965242873779,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.6155166029930115,0.8569835424423218,0.0,5.812863599155571e-14,0.0,1.0,5.812863599155571e-14,15236.985125581768,
1,0,3.0,0.0,correct,variant,,,,,,,,,,,,0.7749821543693542,1.3373363018035889,0.0,3.7721097243606785e-15,0.0,1.0,3.7721097243606785e-15,18453.84891675476,
1,0,3.0,0.0,zero,variant,,,,,,,,,,,,0.7749821543693542,1.3373363018035889,0.0,3.7721097243606785e-15,0.0,1.0,3.7721097243606785e-15,18453.84891675476,
1,0,3.0,0.0,null,variant,,,,,,,,,,,,0.7749821543693542,1.3373363018035889,0.0,3.7721097243606785e-15,0.0,1.0,3.7721097243606785e-15,18453.84891675476,
1,0,3.0,0.3,correct,variant,,,,,,,,,,,,0.7749821543693542,1.3373363018035889,0.0,3.7721097243606785e-15,0.0,1.0,3.7721097243606785e-15,18453.84891675476,
1,0,3.0,0.3,zero,variant,,,,,,,,,,,,0.7749821543693542,1.3373363018035889,0.0,3.7721097243606785e-15,0.0,1.0,3.7721097243606785e-15,18453.84891675476,
1,0,3.0,0.3,null,variant,,,,,,,,,,,,0.7749821543693542,1.3373363018035889,0.0,3.7721097243606785e-15,0.0,1.0,3.7721097243606785e-15,18453.84891675476,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.5353453755378723,0.7923600077629089,0.0,8.625423680122237e-16,0.0,1.0,8.625423680122237e-16,20800.97859000941,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,1.1197386980056763,1.6575562953948975,0.0,1.3331537915381621e-15,0.0,1.0,1.3331537915381621e-15,12326.24759156353,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.5957086682319641,1.0511300563812256,0.0,1.1047236432476528e-14,0.0,1.0,1.1047236432476528e-14,18557.370283879693,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.8125297427177429,1.1272778511047363,0.0,0.0,0.0,1.0,0.0,18427.130399824382,
